address,type,comment
cosmos12cegj7aqwwhzztl78z4ufe3hs4j6x3g2xwlrsj,IBC Account,
cosmos13557nkpqpnnhxmdu3euj3gkta762jym6hljgn4,Bithumb #04,
cosmos144sh8vyv5nqfylmg4mlydnpe3l4w780jsrmf4k,MEXC #01 (Deposit),
cosmos1347r7znpxr9uxsd8t66wjurgfgn93u3vxr348v,Upbit #02 (Withdraw),
cosmos1pnfunk0cl7lpwyrxw7m57kt74zd6g2qh4udppy,Upbit #11 (Staking),
cosmos1hjyde2kfgtl78twvhs53u5j2gcsxrt649nn8j5,Upbit #01 (Deposit),
cosmos1ut6vfjcltr5fmlthr86vpmcxnus9keavxmstlr,Upbit #13 (Staking),
cosmos1rh65gtzdeavc45t7ylmurvhyd0hcht9hkdg7fz,Upbit #15 (Staking),
cosmos102pcnjqspyrfplhdccrz8usg5qhxjxv5a0q9dx,Upbit #17 (Staking),
cosmos1024dxg29cnwq6ljvwgt284xkk5xgmep79rtw5g,Upbit #18 (Staking),
cosmos1dp0xhtj2x8ky88lvegqt3500vrmjqast6ldjdt,IBC Account,
cosmos1peha5yfjnt2ua8x7th85say0pmm9t5mj35angp,Upbit #16 (Staking),
cosmos1helwgzrpwqvjsgv5nrflwdc68n5dtcffwgnegu,Upbit #14 (Staking),
cosmos1ty4z8vumqk7uxd43e22l974ekqj4lta0vf0qtx,Upbit #20 (Staking),
cosmos176nve774xk0wvtw6atn4vtg9w2nejcscqzd0fm,Upbit #12 (Staking),
cosmos1kglms05v6jlazkdeel46h0famvpredkluu7c4w,Upbit #19 (Staking),
cosmos1tt2z57mhgxquacgdz002m0ka2jyrhrkuy7ffrr,IBC Account,
cosmos1up22cc48dtnf0rk99hr0uy5ykvcqruksp7rtls,IBC Account,
cosmos138788g8nr0u2tyjzlrf39xzuhvqz4vh3rxxkzu,IBC Account,
END........ above this line is the richlist,,"special accounts have Tags(Type)"
