status,gno_address,ugnot_total,ugnot_base,ugnot_tiered_bonus,ugnot_first24h_bonus,accepted_usd,lockup_12m,first_24h_eligible,bound_at,signer
GENESIS,g1eefgyzuf473pa57260h6s3cuxwd43zf5p4yw3y,5581395350,4651162791,697674419,232558140,300,no,yes,2026-09-04T19:03:12.945Z,adena
GENESIS,g1f95dmun7ldnyzymrja6qjy063nfug0kzr63l7c,755367441861,629472868217,94420930233,31473643411,40601,no,yes,2026-09-09T01:50:44.762Z,adena
GENESIS,g1flu5w6ky2kxa9r5j3kuy2wxn0e2x3zkpr8mw0l,58498449612,50868217054,7630232558,0,3281,no,no,2026-09-04T03:01:49.764Z,adena
GENESIS,g1h28spejsk5glykd7e54c2mzrnc8hqjhf6whnea,1889922481,1643410853,246511628,0,106,no,no,2026-09-04T14:09:16.977Z,adena
GENESIS,g1hfddsq82tawt6df4eejn0sh2d73v0ac8thdgaj,18604651162,15503875969,2325581395,775193798,1000,no,yes,2026-09-04T09:22:29.152Z,adena
GENESIS,g1hk900ewcwc9wfkn5ryc5t3ucjrupx7uhufraxa,2739572093023,2282976744186,342446511628,114148837209,147252,no,yes,2026-09-11T04:45:17.459Z,adena
GENESIS,g1hpgfqn2ksz40ss70kt4y8lrqd5zgv4n29tyfd4,25155038759,22868217054,2286821705,0,1475,no,no,2026-09-04T11:56:26.054Z,adena
GENESIS,g1k226pr4ezdupppfx9x55erlxsveygvwm5vyu5l,930232558139,775193798450,116279069767,38759689922,50000,no,yes,2026-09-08T07:17:18.852Z,adena
GENESIS,g1kdyd4tvl0ced64pv0te66p52uhrp9z75u870v4,5655364341,5141240310,514124031,0,331.61,no,no,2026-09-10T06:50:58.420Z,adena
GENESIS,g1lpp5uuxkdteg5w3gvv0uyzt20w398lsrpr35l8,341068217054,310062015504,31006201550,0,19999,no,no,2026-09-09T14:54:11.066Z,adena
GENESIS,g1lsk2ve47zl7260zefryx2842f5fesgvwss2xw0,8902325582,8093023256,809302326,0,522,no,no,2026-09-04T20:41:32.802Z,adena
GENESIS,g1me5pu82zl5pfgt3g0t7wznvzqgycx76udsrw8j,1782945737,1550387597,232558140,0,100,no,no,2026-09-07T14:21:21.052Z,adena
GENESIS,g1mftyvps4cgcwygwg2jat6vcadscpe83t7e6cjf,34108527132,31007751938,3100775194,0,2000,no,no,2026-09-04T15:28:38.605Z,adena
GENESIS,g1mrhcvzkaslq2n8ph4wtf78g85jgv6xe6tyjv8w,121757364341,105875968992,15881395349,0,6829,no,no,2026-09-07T14:23:49.434Z,adena
GENESIS,g1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4vp3utp,530232558139,441860465116,66279069767,22093023256,28500,no,yes,2026-09-04T02:41:40.984Z,adena
GENESIS,g1nhh5ylfew99tj60zkus8qqrulxu8fgwe8afls7,36434108527,31007751938,3875968992,1550387597,2000,no,yes,2026-09-04T13:21:12.277Z,adena
GENESIS,g1njefr6rmzp8f7x33kwgqxqmd2hhlezatvnrmqp,1860465117,1550387597,232558140,77519380,100,no,yes,2026-09-04T03:43:48.387Z,gnokey
GENESIS,g1nvq7z47z0kr92d4n6rz74dzr75d69guqs56mxd,27925581394,23271317829,3490697674,1163565891,1501,no,yes,2026-09-04T16:31:01.954Z,adena
GENESIS,g1p6wjkgpyfzp5epxk9zkf7wq7ual6mk0sqn9kq6,17730232558,14775193798,2216279070,738759690,953,no,yes,2026-09-06T07:35:52.251Z,adena
GENESIS,g1p824ept88e349z7tak2nwznjdyn6wpckug77kl,5767441861,4806201550,720930233,240310078,310,no,yes,2026-09-07T22:05:16.910Z,adena
GENESIS,g1pgau0y96k6y2j2493rmq0f290vwj8ekxl2uamy,126201550388,114728682171,11472868217,0,7400,no,no,2026-09-04T10:47:54.041Z,adena
GENESIS,g1pp6rhcqgeag6vd5swugznclk49284kxuhx6qq6,3032558139,2527131783,379069767,126356589,163,no,yes,2026-09-04T13:05:28.869Z,adena
